,fileid,p,alpha,q,r,k,tau,m0,b0,error,p_tilde,q_tilde,alpha_tilde,r_tilde,k_tilde,tau_tilde
0,2397767,0.0778347563608901,0.0013964968821105206,0.312933919640609,0.350682181767036,0.5758308218239327,68.1680811807732,1.0,1.0,0.014379467700488101,0.9999999999999999,4.020490771367661,0.017941816065248493,4.505470282980734,7.398119410228827,5.30584599029486
1,1214612,0.1355112561017946,0.00832056172183504,0.4616083378885499,0.41389241030295343,0.44266108452893027,16.127937261539564,0.8949193999216505,0.8904394314335753,0.011272876008209207,1.0,3.4064206263559,0.06109388407780017,3.0696695827295857,2.908709547564223,2.1855170366421635
2,1518688,0.17123880569028865,0.0012726379738557392,0.1258835157948125,0.031279077330645,-0.10191074735374617,116.1757445103569,0.9072964261705864,0.9520064767274014,0.007711361283157074,1.0,0.7351342780473015,0.007798182424348538,0.17408487532193948,-0.5665753807251555,19.893795740133626
3,1510105,0.09732129748807533,0.01077024324521264,0.23680493050146856,0.19662491349920608,0.0030696223401238676,38.72259944954191,1.0346148656360623,1.0030866743475557,0.01578115145055603,0.9999999999999999,2.433228251303205,0.10729447731125832,2.0838713673439804,0.03163847322355202,3.7685336205404507
4,1134876,0.07429072929296648,0.023094907357731675,0.28024964882433084,0.2642894092255048,-0.17158869064511806,80.5804178290969,0.9995394433309247,0.9902301177572163,0.020916307360289196,1.0,3.772336757109526,0.3079766546835768,3.5909465752994745,-2.2871264148352943,5.986378007255568
5,662427,0.09456978167974822,0.001973884343591914,0.4179877252440879,0.28787874948455283,1.7598677231402249,114.78802645233156,1.000189604789285,1.002018826739472,0.013546451582684783,1.0,4.419886752615803,0.02091042504873186,3.0385310319369094,18.646766015906582,10.85547860104616
6,767213,0.10395337799190818,0.0010970623065302831,0.3780810994026713,0.16261315144080563,1.4121828766220879,69.10201536082916,1.0758765466199525,0.9700641782622901,0.01150558170494154,1.0,3.63702562346845,0.009515480300550995,1.7349183191155224,13.178100108234265,7.183387922806919
7,4691,0.11873255253104897,0.04260871677335798,0.968997594036312,0.898413756691941,0.037508572634676884,18.20298858815616,1.0,1.0,0.022525276983655192,0.9999999999999999,8.161178829057143,0.35886297283312973,7.566701275600073,0.3159080794196542,2.161287298765336
8,130261,0.10748520532320494,0.008237981544958306,0.7518905390248509,0.7768210216687548,2.0275517684553512,66.75035264714266,0.9700338966092916,1.0089978201373373,0.01757263176664097,1.0,6.995293322126869,0.07972149638291862,6.948146415558324,19.033273541557694,7.174675359674465
9,2419841,0.2000951755471067,0.031534221135871066,0.3495151224939306,0.03027349118046635,0.5430558005110075,12.00638689065633,1.0099857437025306,1.0334742946867599,0.007620211033627837,1.0,1.7467443757115833,0.16126121464204643,0.1478568516049867,2.8048362928997292,2.402420092572359
